Year,Month,Province,District,Agents
2025,Janeiro,Província de Maputo,Cidade de Maputo,41290.0
2025,Fevereiro,Província de Maputo,Cidade de Maputo,40770.0
2025,Março,Província de Maputo,Cidade de Maputo,46922.0
2025,Abril,Província de Maputo,Cidade de Maputo,48055.0
2025,Maio,Província de Maputo,Cidade de Maputo,48066.0
2025,Junho,Província de Maputo,Cidade de Maputo,55360.0
2025,Julho,Província de Maputo,Cidade de Maputo,55739.0
2025,Agosto,Província de Maputo,Cidade de Maputo,61137.0
2025,Setembro,Província de Maputo,Cidade de Maputo,62426.0
2025,Outubro,Província de Maputo,Cidade de Maputo,64902.0
2025,Novembro,Província de Maputo,Cidade de Maputo,65867.0
2025,Dezembro,Província de Maputo,Cidade de Maputo,66710.0
2025,Janeiro,Província de Maputo,Cidade da Matola,30992.0
2025,Fevereiro,Província de Maputo,Cidade da Matola,31366.0
2025,Março,Província de Maputo,Cidade da Matola,33985.0
2025,Abril,Província de Maputo,Cidade da Matola,34691.0
2025,Maio,Província de Maputo,Cidade da Matola,35135.0
2025,Junho,Província de Maputo,Cidade da Matola,33816.0
2025,Julho,Província de Maputo,Cidade da Matola,33995.0
2025,Agosto,Província de Maputo,Cidade da Matola,33715.0
2025,Setembro,Província de Maputo,Cidade da Matola,34265.0
2025,Outubro,Província de Maputo,Cidade da Matola,33919.0
2025,Novembro,Província de Maputo,Cidade da Matola,33832.0
2025,Dezembro,Província de Maputo,Cidade da Matola,33866.0
2025,Janeiro,Província de Maputo,Boane,5366.0
2025,Fevereiro,Província de Maputo,Boane,5457.0
2025,Março,Província de Maputo,Boane,5631.0
2025,Abril,Província de Maputo,Boane,5861.0
2025,Maio,Província de Maputo,Boane,5940.0
2025,Junho,Província de Maputo,Boane,6168.0
2025,Julho,Província de Maputo,Boane,6209.0
2025,Agosto,Província de Maputo,Boane,6186.0
2025,Setembro,Província de Maputo,Boane,6180.0
2025,Outubro,Província de Maputo,Boane,6520.0
2025,Novembro,Província de Maputo,Boane,6764.0
2025,Dezembro,Província de Maputo,Boane,7124.0
2025,Janeiro,Província de Maputo,Magude,753.0
2025,Fevereiro,Província de Maputo,Magude,770.0
2025,Março,Província de Maputo,Magude,807.0
2025,Abril,Província de Maputo,Magude,828.0
2025,Maio,Província de Maputo,Magude,827.0
2025,Junho,Província de Maputo,Magude,822.0
2025,Julho,Província de Maputo,Magude,806.0
2025,Agosto,Província de Maputo,Magude,811.0
2025,Setembro,Província de Maputo,Magude,854.0
2025,Outubro,Província de Maputo,Magude,882.0
2025,Novembro,Província de Maputo,Magude,906.0
2025,Dezembro,Província de Maputo,Magude,899.0
2025,Janeiro,Província de Maputo,Manhiça,3123.0
2025,Fevereiro,Província de Maputo,Manhiça,3163.0
2025,Março,Província de Maputo,Manhiça,3241.0
2025,Abril,Província de Maputo,Manhiça,3364.0
2025,Maio,Província de Maputo,Manhiça,3399.0
2025,Junho,Província de Maputo,Manhiça,3284.0
2025,Julho,Província de Maputo,Manhiça,3292.0
2025,Agosto,Província de Maputo,Manhiça,3317.0
2025,Setembro,Província de Maputo,Manhiça,3419.0
2025,Outubro,Província de Maputo,Manhiça,3501.0
2025,Novembro,Província de Maputo,Manhiça,3620.0
2025,Dezembro,Província de Maputo,Manhiça,3743.0
2025,Janeiro,Província de Maputo,Marracuene,9834.0
2025,Fevereiro,Província de Maputo,Marracuene,9921.0
2025,Março,Província de Maputo,Marracuene,10025.0
2025,Abril,Província de Maputo,Marracuene,10297.0
2025,Maio,Província de Maputo,Marracuene,10299.0
2025,Junho,Província de Maputo,Marracuene,9749.0
2025,Julho,Província de Maputo,Marracuene,9799.0
2025,Agosto,Província de Maputo,Marracuene,9571.0
2025,Setembro,Província de Maputo,Marracuene,9748.0
2025,Outubro,Província de Maputo,Marracuene,9618.0
2025,Novembro,Província de Maputo,Marracuene,9703.0
2025,Dezembro,Província de Maputo,Marracuene,9716.0
2025,Janeiro,Província de Maputo,Matutuíne,594.0
2025,Fevereiro,Província de Maputo,Matutuíne,584.0
2025,Março,Província de Maputo,Matutuíne,580.0
2025,Abril,Província de Maputo,Matutuíne,597.0
2025,Maio,Província de Maputo,Matutuíne,605.0
2025,Junho,Província de Maputo,Matutuíne,580.0
2025,Julho,Província de Maputo,Matutuíne,584.0
2025,Agosto,Província de Maputo,Matutuíne,765.0
2025,Setembro,Província de Maputo,Matutuíne,852.0
2025,Outubro,Província de Maputo,Matutuíne,933.0
2025,Novembro,Província de Maputo,Matutuíne,1032.0
2025,Dezembro,Província de Maputo,Matutuíne,1080.0
2025,Janeiro,Província de Maputo,Namaacha,579.0
2025,Fevereiro,Província de Maputo,Namaacha,587.0
2025,Março,Província de Maputo,Namaacha,623.0
2025,Abril,Província de Maputo,Namaacha,645.0
2025,Maio,Província de Maputo,Namaacha,654.0
2025,Junho,Província de Maputo,Namaacha,624.0
2025,Julho,Província de Maputo,Namaacha,626.0
2025,Agosto,Província de Maputo,Namaacha,638.0
2025,Setembro,Província de Maputo,Namaacha,644.0
2025,Outubro,Província de Maputo,Namaacha,653.0
2025,Novembro,Província de Maputo,Namaacha,694.0
2025,Dezembro,Província de Maputo,Namaacha,682.0
2025,Janeiro,Província de Maputo,Moamba,1958.0
2025,Fevereiro,Província de Maputo,Moamba,1973.0
2025,Março,Província de Maputo,Moamba,2003.0
2025,Abril,Província de Maputo,Moamba,2160.0
2025,Maio,Província de Maputo,Moamba,2194.0
2025,Junho,Província de Maputo,Moamba,2029.0
2025,Julho,Província de Maputo,Moamba,2033.0
2025,Agosto,Província de Maputo,Moamba,2126.0
2025,Setembro,Província de Maputo,Moamba,2193.0
2025,Outubro,Província de Maputo,Moamba,2217.0
2025,Novembro,Província de Maputo,Moamba,2276.0
2025,Dezembro,Província de Maputo,Moamba,2243.0
2025,Janeiro,Gaza,Cidade de Xai-Xai,5393.0
2025,Fevereiro,Gaza,Cidade de Xai-Xai,5511.0
2025,Março,Gaza,Cidade de Xai-Xai,5712.0
2025,Abril,Gaza,Cidade de Xai-Xai,5952.0
2025,Maio,Gaza,Cidade de Xai-Xai,5950.0
2025,Junho,Gaza,Cidade de Xai-Xai,6176.0
2025,Julho,Gaza,Cidade de Xai-Xai,6230.0
2025,Agosto,Gaza,Cidade de Xai-Xai,6587.0
2025,Setembro,Gaza,Cidade de Xai-Xai,6758.0
2025,Outubro,Gaza,Cidade de Xai-Xai,6740.0
2025,Novembro,Gaza,Cidade de Xai-Xai,6806.0
2025,Dezembro,Gaza,Cidade de Xai-Xai,6859.0
2025,Janeiro,Gaza,Bilene-Macia,2514.0
2025,Fevereiro,Gaza,Bilene-Macia,2537.0
2025,Março,Gaza,Bilene-Macia,2693.0
2025,Abril,Gaza,Bilene-Macia,2843.0
2025,Maio,Gaza,Bilene-Macia,2869.0
2025,Junho,Gaza,Bilene-Macia,3131.0
2025,Julho,Gaza,Bilene-Macia,3164.0
2025,Agosto,Gaza,Bilene-Macia,3220.0
2025,Setembro,Gaza,Bilene-Macia,3260.0
2025,Outubro,Gaza,Bilene-Macia,3345.0
2025,Novembro,Gaza,Bilene-Macia,3365.0
2025,Dezembro,Gaza,Bilene-Macia,3442.0
2025,Janeiro,Gaza,Chibuto,1856.0
2025,Fevereiro,Gaza,Chibuto,1912.0
2025,Março,Gaza,Chibuto,2055.0
2025,Abril,Gaza,Chibuto,2138.0
2025,Maio,Gaza,Chibuto,2174.0
2025,Junho,Gaza,Chibuto,2397.0
2025,Julho,Gaza,Chibuto,2412.0
2025,Agosto,Gaza,Chibuto,2651.0
2025,Setembro,Gaza,Chibuto,2747.0
2025,Outubro,Gaza,Chibuto,2943.0
2025,Novembro,Gaza,Chibuto,3028.0
2025,Dezembro,Gaza,Chibuto,3155.0
2025,Janeiro,Gaza,Chicualacuala,311.0
2025,Fevereiro,Gaza,Chicualacuala,317.0
2025,Março,Gaza,Chicualacuala,349.0
2025,Abril,Gaza,Chicualacuala,359.0
2025,Maio,Gaza,Chicualacuala,359.0
2025,Junho,Gaza,Chicualacuala,358.0
2025,Julho,Gaza,Chicualacuala,359.0
2025,Agosto,Gaza,Chicualacuala,386.0
2025,Setembro,Gaza,Chicualacuala,393.0
2025,Outubro,Gaza,Chicualacuala,407.0
2025,Novembro,Gaza,Chicualacuala,403.0
2025,Dezembro,Gaza,Chicualacuala,411.0
2025,Janeiro,Gaza,Chigubo,98.0
2025,Fevereiro,Gaza,Chigubo,98.0
2025,Março,Gaza,Chigubo,99.0
2025,Abril,Gaza,Chigubo,97.0
2025,Maio,Gaza,Chigubo,100.0
2025,Junho,Gaza,Chigubo,109.0
2025,Julho,Gaza,Chigubo,110.0
2025,Agosto,Gaza,Chigubo,115.0
2025,Setembro,Gaza,Chigubo,118.0
2025,Outubro,Gaza,Chigubo,118.0
2025,Novembro,Gaza,Chigubo,127.0
2025,Dezembro,Gaza,Chigubo,135.0
2025,Janeiro,Gaza,Chókwè,2512.0
2025,Fevereiro,Gaza,Chókwè,2565.0
2025,Março,Gaza,Chókwè,2665.0
2025,Abril,Gaza,Chókwè,2763.0
2025,Maio,Gaza,Chókwè,2782.0
2025,Junho,Gaza,Chókwè,2909.0
2025,Julho,Gaza,Chókwè,2923.0
2025,Agosto,Gaza,Chókwè,3122.0
2025,Setembro,Gaza,Chókwè,3209.0
2025,Outubro,Gaza,Chókwè,3255.0
2025,Novembro,Gaza,Chókwè,3326.0
2025,Dezembro,Gaza,Chókwè,3365.0
2025,Janeiro,Gaza,Guijá,412.0
2025,Fevereiro,Gaza,Guijá,415.0
2025,Março,Gaza,Guijá,446.0
2025,Abril,Gaza,Guijá,484.0
2025,Maio,Gaza,Guijá,480.0
2025,Junho,Gaza,Guijá,448.0
2025,Julho,Gaza,Guijá,453.0
2025,Agosto,Gaza,Guijá,466.0
2025,Setembro,Gaza,Guijá,500.0
2025,Outubro,Gaza,Guijá,544.0
2025,Novembro,Gaza,Guijá,573.0
2025,Dezembro,Gaza,Guijá,573.0
2025,Janeiro,Gaza,Mabalane,331.0
2025,Fevereiro,Gaza,Mabalane,335.0
2025,Março,Gaza,Mabalane,348.0
2025,Abril,Gaza,Mabalane,360.0
2025,Maio,Gaza,Mabalane,358.0
2025,Junho,Gaza,Mabalane,367.0
2025,Julho,Gaza,Mabalane,366.0
2025,Agosto,Gaza,Mabalane,383.0
2025,Setembro,Gaza,Mabalane,405.0
2025,Outubro,Gaza,Mabalane,398.0
2025,Novembro,Gaza,Mabalane,439.0
2025,Dezembro,Gaza,Mabalane,443.0
2025,Janeiro,Gaza,Manjacaze,1345.0
2025,Fevereiro,Gaza,Manjacaze,1377.0
2025,Março,Gaza,Manjacaze,1453.0
2025,Abril,Gaza,Manjacaze,1508.0
2025,Maio,Gaza,Manjacaze,1502.0
2025,Junho,Gaza,Manjacaze,1554.0
2025,Julho,Gaza,Manjacaze,1557.0
2025,Agosto,Gaza,Manjacaze,1635.0
2025,Setembro,Gaza,Manjacaze,1687.0
2025,Outubro,Gaza,Manjacaze,1617.0
2025,Novembro,Gaza,Manjacaze,1676.0
2025,Dezembro,Gaza,Manjacaze,1708.0
2025,Janeiro,Gaza,Massangena,183.0
2025,Fevereiro,Gaza,Massangena,182.0
2025,Março,Gaza,Massangena,188.0
2025,Abril,Gaza,Massangena,191.0
2025,Maio,Gaza,Massangena,194.0
2025,Junho,Gaza,Massangena,186.0
2025,Julho,Gaza,Massangena,187.0
2025,Agosto,Gaza,Massangena,189.0
2025,Setembro,Gaza,Massangena,190.0
2025,Outubro,Gaza,Massangena,195.0
2025,Novembro,Gaza,Massangena,209.0
2025,Dezembro,Gaza,Massangena,209.0
2025,Janeiro,Gaza,Massingir,318.0
2025,Fevereiro,Gaza,Massingir,316.0
2025,Março,Gaza,Massingir,320.0
2025,Abril,Gaza,Massingir,326.0
2025,Maio,Gaza,Massingir,328.0
2025,Junho,Gaza,Massingir,314.0
2025,Julho,Gaza,Massingir,315.0
2025,Agosto,Gaza,Massingir,323.0
2025,Setembro,Gaza,Massingir,324.0
2025,Outubro,Gaza,Massingir,327.0
2025,Novembro,Gaza,Massingir,342.0
2025,Dezembro,Gaza,Massingir,342.0
2025,Janeiro,Gaza,Chonguene,1277.0
2025,Fevereiro,Gaza,Chonguene,1322.0
2025,Março,Gaza,Chonguene,1394.0
2025,Abril,Gaza,Chonguene,1453.0
2025,Maio,Gaza,Chonguene,1467.0
2025,Junho,Gaza,Chonguene,1574.0
2025,Julho,Gaza,Chonguene,1584.0
2025,Agosto,Gaza,Chonguene,1684.0
2025,Setembro,Gaza,Chonguene,1715.0
2025,Outubro,Gaza,Chonguene,1851.0
2025,Novembro,Gaza,Chonguene,1910.0
2025,Dezembro,Gaza,Chonguene,2013.0
2025,Janeiro,Gaza,Mapai,484.0
2025,Fevereiro,Gaza,Mapai,486.0
2025,Março,Gaza,Mapai,499.0
2025,Abril,Gaza,Mapai,515.0
2025,Maio,Gaza,Mapai,519.0
2025,Junho,Gaza,Mapai,534.0
2025,Julho,Gaza,Mapai,536.0
2025,Agosto,Gaza,Mapai,541.0
2025,Setembro,Gaza,Mapai,548.0
2025,Outubro,Gaza,Mapai,541.0
2025,Novembro,Gaza,Mapai,572.0
2025,Dezembro,Gaza,Mapai,600.0
2025,Janeiro,Gaza,Limpopo,1343.0
2025,Fevereiro,Gaza,Limpopo,1365.0
2025,Março,Gaza,Limpopo,1467.0
2025,Abril,Gaza,Limpopo,1476.0
2025,Maio,Gaza,Limpopo,1495.0
2025,Junho,Gaza,Limpopo,1541.0
2025,Julho,Gaza,Limpopo,1548.0
2025,Agosto,Gaza,Limpopo,1529.0
2025,Setembro,Gaza,Limpopo,1542.0
2025,Outubro,Gaza,Limpopo,1632.0
2025,Novembro,Gaza,Limpopo,1636.0
2025,Dezembro,Gaza,Limpopo,1709.0
2025,Janeiro,Inhambane,Cidade de Inhambane,2158.0
2025,Fevereiro,Inhambane,Cidade de Inhambane,2121.0
2025,Março,Inhambane,Cidade de Inhambane,2330.0
2025,Abril,Inhambane,Cidade de Inhambane,2379.0
2025,Maio,Inhambane,Cidade de Inhambane,2438.0
2025,Junho,Inhambane,Cidade de Inhambane,2568.0
2025,Julho,Inhambane,Cidade de Inhambane,2593.0
2025,Agosto,Inhambane,Cidade de Inhambane,2730.0
2025,Setembro,Inhambane,Cidade de Inhambane,2812.0
2025,Outubro,Inhambane,Cidade de Inhambane,2913.0
2025,Novembro,Inhambane,Cidade de Inhambane,2960.0
2025,Dezembro,Inhambane,Cidade de Inhambane,2963.0
2025,Janeiro,Inhambane,Cidade de Maxixe,3670.0
2025,Fevereiro,Inhambane,Cidade de Maxixe,3715.0
2025,Março,Inhambane,Cidade de Maxixe,3941.0
2025,Abril,Inhambane,Cidade de Maxixe,4019.0
2025,Maio,Inhambane,Cidade de Maxixe,4000.0
2025,Junho,Inhambane,Cidade de Maxixe,4114.0
2025,Julho,Inhambane,Cidade de Maxixe,4123.0
2025,Agosto,Inhambane,Cidade de Maxixe,4278.0
2025,Setembro,Inhambane,Cidade de Maxixe,4391.0
2025,Outubro,Inhambane,Cidade de Maxixe,4391.0
2025,Novembro,Inhambane,Cidade de Maxixe,4457.0
2025,Dezembro,Inhambane,Cidade de Maxixe,4496.0
2025,Janeiro,Inhambane,Funhaloro,282.0
2025,Fevereiro,Inhambane,Funhaloro,282.0
2025,Março,Inhambane,Funhaloro,300.0
2025,Abril,Inhambane,Funhaloro,306.0
2025,Maio,Inhambane,Funhaloro,302.0
2025,Junho,Inhambane,Funhaloro,334.0
2025,Julho,Inhambane,Funhaloro,334.0
2025,Agosto,Inhambane,Funhaloro,421.0
2025,Setembro,Inhambane,Funhaloro,522.0
2025,Outubro,Inhambane,Funhaloro,565.0
2025,Novembro,Inhambane,Funhaloro,621.0
2025,Dezembro,Inhambane,Funhaloro,644.0
2025,Janeiro,Inhambane,Govuro,573.0
2025,Fevereiro,Inhambane,Govuro,577.0
2025,Março,Inhambane,Govuro,597.0
2025,Abril,Inhambane,Govuro,614.0
2025,Maio,Inhambane,Govuro,618.0
2025,Junho,Inhambane,Govuro,627.0
2025,Julho,Inhambane,Govuro,626.0
2025,Agosto,Inhambane,Govuro,695.0
2025,Setembro,Inhambane,Govuro,714.0
2025,Outubro,Inhambane,Govuro,746.0
2025,Novembro,Inhambane,Govuro,766.0
2025,Dezembro,Inhambane,Govuro,787.0
2025,Janeiro,Inhambane,Homoine,989.0
2025,Fevereiro,Inhambane,Homoine,1002.0
2025,Março,Inhambane,Homoine,1049.0
2025,Abril,Inhambane,Homoine,1107.0
2025,Maio,Inhambane,Homoine,1135.0
2025,Junho,Inhambane,Homoine,1221.0
2025,Julho,Inhambane,Homoine,1222.0
2025,Agosto,Inhambane,Homoine,1421.0
2025,Setembro,Inhambane,Homoine,1473.0
2025,Outubro,Inhambane,Homoine,1537.0
2025,Novembro,Inhambane,Homoine,1598.0
2025,Dezembro,Inhambane,Homoine,1663.0
2025,Janeiro,Inhambane,Inharrime,1449.0
2025,Fevereiro,Inhambane,Inharrime,1456.0
2025,Março,Inhambane,Inharrime,1507.0
2025,Abril,Inhambane,Inharrime,1539.0
2025,Maio,Inhambane,Inharrime,1543.0
2025,Junho,Inhambane,Inharrime,1597.0
2025,Julho,Inhambane,Inharrime,1607.0
2025,Agosto,Inhambane,Inharrime,1680.0
2025,Setembro,Inhambane,Inharrime,1714.0
2025,Outubro,Inhambane,Inharrime,1791.0
2025,Novembro,Inhambane,Inharrime,1865.0
2025,Dezembro,Inhambane,Inharrime,1996.0
2025,Janeiro,Inhambane,Inhassoro,951.0
2025,Fevereiro,Inhambane,Inhassoro,949.0
2025,Março,Inhambane,Inhassoro,972.0
2025,Abril,Inhambane,Inhassoro,1015.0
2025,Maio,Inhambane,Inhassoro,1014.0
2025,Junho,Inhambane,Inhassoro,1058.0
2025,Julho,Inhambane,Inhassoro,1063.0
2025,Agosto,Inhambane,Inhassoro,1156.0
2025,Setembro,Inhambane,Inhassoro,1251.0
2025,Outubro,Inhambane,Inhassoro,1328.0
2025,Novembro,Inhambane,Inhassoro,1371.0
2025,Dezembro,Inhambane,Inhassoro,1439.0
2025,Janeiro,Inhambane,Jangamo,1175.0
2025,Fevereiro,Inhambane,Jangamo,1206.0
2025,Março,Inhambane,Jangamo,1279.0
2025,Abril,Inhambane,Jangamo,1312.0
2025,Maio,Inhambane,Jangamo,1328.0
2025,Junho,Inhambane,Jangamo,1396.0
2025,Julho,Inhambane,Jangamo,1398.0
2025,Agosto,Inhambane,Jangamo,1656.0
2025,Setembro,Inhambane,Jangamo,1656.0
2025,Outubro,Inhambane,Jangamo,1741.0
2025,Novembro,Inhambane,Jangamo,1835.0
2025,Dezembro,Inhambane,Jangamo,1901.0
2025,Janeiro,Inhambane,Mabote,455.0
2025,Fevereiro,Inhambane,Mabote,458.0
2025,Março,Inhambane,Mabote,474.0
2025,Abril,Inhambane,Mabote,488.0
2025,Maio,Inhambane,Mabote,484.0
2025,Junho,Inhambane,Mabote,488.0
2025,Julho,Inhambane,Mabote,487.0
2025,Agosto,Inhambane,Mabote,554.0
2025,Setembro,Inhambane,Mabote,568.0
2025,Outubro,Inhambane,Mabote,575.0
2025,Novembro,Inhambane,Mabote,596.0
2025,Dezembro,Inhambane,Mabote,609.0
2025,Janeiro,Inhambane,Massinga,3049.0
2025,Fevereiro,Inhambane,Massinga,3108.0
2025,Março,Inhambane,Massinga,3212.0
2025,Abril,Inhambane,Massinga,3301.0
2025,Maio,Inhambane,Massinga,3317.0
2025,Junho,Inhambane,Massinga,3470.0
2025,Julho,Inhambane,Massinga,3512.0
2025,Agosto,Inhambane,Massinga,3746.0
2025,Setembro,Inhambane,Massinga,3860.0
2025,Outubro,Inhambane,Massinga,3992.0
2025,Novembro,Inhambane,Massinga,4069.0
2025,Dezembro,Inhambane,Massinga,4260.0
2025,Janeiro,Inhambane,Morrumbene,1094.0
2025,Fevereiro,Inhambane,Morrumbene,1101.0
2025,Março,Inhambane,Morrumbene,1136.0
2025,Abril,Inhambane,Morrumbene,1157.0
2025,Maio,Inhambane,Morrumbene,1165.0
2025,Junho,Inhambane,Morrumbene,1223.0
2025,Julho,Inhambane,Morrumbene,1232.0
2025,Agosto,Inhambane,Morrumbene,1317.0
2025,Setembro,Inhambane,Morrumbene,1368.0
2025,Outubro,Inhambane,Morrumbene,1430.0
2025,Novembro,Inhambane,Morrumbene,1476.0
2025,Dezembro,Inhambane,Morrumbene,1535.0
2025,Janeiro,Inhambane,Panda,396.0
2025,Fevereiro,Inhambane,Panda,401.0
2025,Março,Inhambane,Panda,411.0
2025,Abril,Inhambane,Panda,444.0
2025,Maio,Inhambane,Panda,440.0
2025,Junho,Inhambane,Panda,452.0
2025,Julho,Inhambane,Panda,456.0
2025,Agosto,Inhambane,Panda,498.0
2025,Setembro,Inhambane,Panda,516.0
2025,Outubro,Inhambane,Panda,541.0
2025,Novembro,Inhambane,Panda,558.0
2025,Dezembro,Inhambane,Panda,592.0
2025,Janeiro,Inhambane,Vilankulo,2790.0
2025,Fevereiro,Inhambane,Vilankulo,2817.0
2025,Março,Inhambane,Vilankulo,2857.0
2025,Abril,Inhambane,Vilankulo,2905.0
2025,Maio,Inhambane,Vilankulo,2916.0
2025,Junho,Inhambane,Vilankulo,2706.0
2025,Julho,Inhambane,Vilankulo,2715.0
2025,Agosto,Inhambane,Vilankulo,2833.0
2025,Setembro,Inhambane,Vilankulo,2874.0
2025,Outubro,Inhambane,Vilankulo,2969.0
2025,Novembro,Inhambane,Vilankulo,3075.0
2025,Dezembro,Inhambane,Vilankulo,3125.0
2025,Janeiro,Inhambane,Zavala (Quissico),1437.0
2025,Fevereiro,Inhambane,Zavala (Quissico),1453.0
2025,Março,Inhambane,Zavala (Quissico),1494.0
2025,Abril,Inhambane,Zavala (Quissico),1560.0
2025,Maio,Inhambane,Zavala (Quissico),1563.0
2025,Junho,Inhambane,Zavala (Quissico),1615.0
2025,Julho,Inhambane,Zavala (Quissico),1627.0
2025,Agosto,Inhambane,Zavala (Quissico),1825.0
2025,Setembro,Inhambane,Zavala (Quissico),1883.0
2025,Outubro,Inhambane,Zavala (Quissico),1977.0
2025,Novembro,Inhambane,Zavala (Quissico),2033.0
2025,Dezembro,Inhambane,Zavala (Quissico),2130.0
2025,Janeiro,Sofala,Cidade da Beira,19288.0
2025,Fevereiro,Sofala,Cidade da Beira,19894.0
2025,Março,Sofala,Cidade da Beira,22550.0
2025,Abril,Sofala,Cidade da Beira,23289.0
2025,Maio,Sofala,Cidade da Beira,23469.0
2025,Junho,Sofala,Cidade da Beira,25713.0
2025,Julho,Sofala,Cidade da Beira,25920.0
2025,Agosto,Sofala,Cidade da Beira,25605.0
2025,Setembro,Sofala,Cidade da Beira,26440.0
2025,Outubro,Sofala,Cidade da Beira,27295.0
2025,Novembro,Sofala,Cidade da Beira,27740.0
2025,Dezembro,Sofala,Cidade da Beira,28221.0
2025,Janeiro,Sofala,Buzi,675.0
2025,Fevereiro,Sofala,Buzi,706.0
2025,Março,Sofala,Buzi,741.0
2025,Abril,Sofala,Buzi,793.0
2025,Maio,Sofala,Buzi,803.0
2025,Junho,Sofala,Buzi,946.0
2025,Julho,Sofala,Buzi,956.0
2025,Agosto,Sofala,Buzi,1737.0
2025,Setembro,Sofala,Buzi,1850.0
2025,Outubro,Sofala,Buzi,2036.0
2025,Novembro,Sofala,Buzi,2264.0
2025,Dezembro,Sofala,Buzi,2417.0
2025,Janeiro,Sofala,Caia,1513.0
2025,Fevereiro,Sofala,Caia,1540.0
2025,Março,Sofala,Caia,1594.0
2025,Abril,Sofala,Caia,1591.0
2025,Maio,Sofala,Caia,1605.0
2025,Junho,Sofala,Caia,1766.0
2025,Julho,Sofala,Caia,1774.0
2025,Agosto,Sofala,Caia,2174.0
2025,Setembro,Sofala,Caia,2267.0
2025,Outubro,Sofala,Caia,2425.0
2025,Novembro,Sofala,Caia,2528.0
2025,Dezembro,Sofala,Caia,2598.0
2025,Janeiro,Sofala,Chemba,347.0
2025,Fevereiro,Sofala,Chemba,366.0
2025,Março,Sofala,Chemba,394.0
2025,Abril,Sofala,Chemba,413.0
2025,Maio,Sofala,Chemba,413.0
2025,Junho,Sofala,Chemba,466.0
2025,Julho,Sofala,Chemba,466.0
2025,Agosto,Sofala,Chemba,705.0
2025,Setembro,Sofala,Chemba,733.0
2025,Outubro,Sofala,Chemba,793.0
2025,Novembro,Sofala,Chemba,884.0
2025,Dezembro,Sofala,Chemba,911.0
2025,Janeiro,Sofala,Cheringoma,439.0
2025,Fevereiro,Sofala,Cheringoma,474.0
2025,Março,Sofala,Cheringoma,514.0
2025,Abril,Sofala,Cheringoma,540.0
2025,Maio,Sofala,Cheringoma,533.0
2025,Junho,Sofala,Cheringoma,582.0
2025,Julho,Sofala,Cheringoma,585.0
2025,Agosto,Sofala,Cheringoma,631.0
2025,Setembro,Sofala,Cheringoma,678.0
2025,Outubro,Sofala,Cheringoma,693.0
2025,Novembro,Sofala,Cheringoma,712.0
2025,Dezembro,Sofala,Cheringoma,730.0
2025,Janeiro,Sofala,Chibabava,623.0
2025,Fevereiro,Sofala,Chibabava,629.0
2025,Março,Sofala,Chibabava,647.0
2025,Abril,Sofala,Chibabava,679.0
2025,Maio,Sofala,Chibabava,682.0
2025,Junho,Sofala,Chibabava,853.0
2025,Julho,Sofala,Chibabava,861.0
2025,Agosto,Sofala,Chibabava,1040.0
2025,Setembro,Sofala,Chibabava,1157.0
2025,Outubro,Sofala,Chibabava,1245.0
2025,Novembro,Sofala,Chibabava,1368.0
2025,Dezembro,Sofala,Chibabava,1471.0
2025,Janeiro,Sofala,Dondo,3854.0
2025,Fevereiro,Sofala,Dondo,3984.0
2025,Março,Sofala,Dondo,4237.0
2025,Abril,Sofala,Dondo,4408.0
2025,Maio,Sofala,Dondo,4458.0
2025,Junho,Sofala,Dondo,4613.0
2025,Julho,Sofala,Dondo,4657.0
2025,Agosto,Sofala,Dondo,5212.0
2025,Setembro,Sofala,Dondo,5459.0
2025,Outubro,Sofala,Dondo,5511.0
2025,Novembro,Sofala,Dondo,5647.0
2025,Dezembro,Sofala,Dondo,5751.0
2025,Janeiro,Sofala,Gorongoza,1162.0
2025,Fevereiro,Sofala,Gorongoza,1197.0
2025,Março,Sofala,Gorongoza,1265.0
2025,Abril,Sofala,Gorongoza,1337.0
2025,Maio,Sofala,Gorongoza,1351.0
2025,Junho,Sofala,Gorongoza,1460.0
2025,Julho,Sofala,Gorongoza,1475.0
2025,Agosto,Sofala,Gorongoza,1692.0
2025,Setembro,Sofala,Gorongoza,1714.0
2025,Outubro,Sofala,Gorongoza,1753.0
2025,Novembro,Sofala,Gorongoza,1803.0
2025,Dezembro,Sofala,Gorongoza,1821.0
2025,Janeiro,Sofala,Machanga,123.0
2025,Fevereiro,Sofala,Machanga,123.0
2025,Março,Sofala,Machanga,123.0
2025,Abril,Sofala,Machanga,131.0
2025,Maio,Sofala,Machanga,132.0
2025,Junho,Sofala,Machanga,166.0
2025,Julho,Sofala,Machanga,169.0
2025,Agosto,Sofala,Machanga,401.0
2025,Setembro,Sofala,Machanga,487.0
2025,Outubro,Sofala,Machanga,568.0
2025,Novembro,Sofala,Machanga,656.0
2025,Dezembro,Sofala,Machanga,720.0
2025,Janeiro,Sofala,Maringue,547.0
2025,Fevereiro,Sofala,Maringue,575.0
2025,Março,Sofala,Maringue,626.0
2025,Abril,Sofala,Maringue,660.0
2025,Maio,Sofala,Maringue,661.0
2025,Junho,Sofala,Maringue,832.0
2025,Julho,Sofala,Maringue,838.0
2025,Agosto,Sofala,Maringue,1034.0
2025,Setembro,Sofala,Maringue,1096.0
2025,Outubro,Sofala,Maringue,1152.0
2025,Novembro,Sofala,Maringue,1225.0
2025,Dezembro,Sofala,Maringue,1248.0
