Year,Province,District,Month,Card_Type,Gender,Age,Total_Cards
2020,Niassa,Nipepe,Maio,Cartões pré-pagos,Mulheres,16121,0.0
2020,Niassa,N´gauma,Novembro,Cartões de Débito,Homens,720904,0.0
2020,Niassa,N´gauma,Novembro,Cartões de Crédito,Outros*,3206,0.0
2020,Niassa,N´gauma,Novembro,Cartões de Crédito,Mulheres,19826,0.0
2020,Niassa,N´gauma,Novembro,Cartões de Crédito,Homens,48708,0.0
2020,Niassa,N´gauma,Outubro,Cartões pré-pagos,Outros*,56695,0.0
2020,Niassa,N´gauma,Outubro,Cartões pré-pagos,Mulheres,6692,0.0
2020,Niassa,N´gauma,Outubro,Cartões pré-pagos,Homens,17543,0.0
2020,Niassa,N´gauma,Outubro,Cartões de Débito,Outros*,33690,0.0
2020,Niassa,N´gauma,Outubro,Cartões de Débito,Mulheres,462558,0.0
2020,Niassa,N´gauma,Outubro,Cartões de Débito,Homens,719429,0.0
2020,Niassa,N´gauma,Outubro,Cartões de Crédito,Outros*,2672,0.0
2020,Niassa,N´gauma,Outubro,Cartões de Crédito,Mulheres,19108,0.0
2020,Niassa,N´gauma,Outubro,Cartões de Crédito,Homens,47093,0.0
2020,Niassa,N´gauma,Setembro,Cartões pré-pagos,Outros*,55068,0.0
2020,Niassa,N´gauma,Setembro,Cartões pré-pagos,Mulheres,26583,0.0
2020,Niassa,N´gauma,Setembro,Cartões pré-pagos,Homens,9906,0.0
2020,Niassa,N´gauma,Setembro,Cartões de Débito,Outros*,33274,0.0
2020,Niassa,N´gauma,Setembro,Cartões de Débito,Mulheres,468743,0.0
2020,Niassa,N´gauma,Setembro,Cartões de Débito,Homens,734571,0.0
2020,Niassa,N´gauma,Setembro,Cartões de Crédito,Outros*,3111,0.0
2020,Niassa,N´gauma,Setembro,Cartões de Crédito,Mulheres,18808,0.0
2020,Niassa,N´gauma,Setembro,Cartões de Crédito,Homens,47193,0.0
2020,Niassa,N´gauma,Agosto,Cartões pré-pagos,Outros*,50823,0.0
2020,Niassa,N´gauma,Agosto,Cartões pré-pagos,Mulheres,16167,0.0
2020,Niassa,N´gauma,Agosto,Cartões pré-pagos,Homens,29715,0.0
2020,Niassa,N´gauma,Agosto,Cartões de Débito,Outros*,33292,0.0
2020,Niassa,N´gauma,Agosto,Cartões de Débito,Mulheres,489029,0.0
2020,Niassa,N´gauma,Agosto,Cartões de Débito,Homens,762057,0.0
2020,Niassa,N´gauma,Agosto,Cartões de Crédito,Outros*,3259,0.0
2020,Niassa,Maúa,Novembro,Cartões pré-pagos,Mulheres,7099,0.0
2020,Niassa,Sanga,Julho,Cartões pré-pagos,Homens,29163,0.0
2020,Niassa,Nipepe,Fevereiro,Cartões pré-pagos,Outros*,39202,0.0
2020,Niassa,Nipepe,Fevereiro,Cartões pré-pagos,Mulheres,15547,0.0
2020,Niassa,N´gauma,Julho,Cartões de Crédito,Homens,48628,0.0
2020,Niassa,N´gauma,Junho,Cartões pré-pagos,Outros*,46916,0.0
2020,Niassa,N´gauma,Junho,Cartões pré-pagos,Mulheres,16034,0.0
2020,Niassa,N´gauma,Junho,Cartões pré-pagos,Homens,29510,0.0
2020,Niassa,N´gauma,Junho,Cartões de Débito,Outros*,30941,0.0
2020,Niassa,N´gauma,Junho,Cartões de Débito,Mulheres,505537,0.0
2020,Niassa,N´gauma,Junho,Cartões de Débito,Homens,778438,0.0
2020,Niassa,N´gauma,Junho,Cartões de Crédito,Outros*,3218,0.0
2020,Niassa,N´gauma,Julho,Cartões de Débito,Outros*,32642,0.0
2020,Niassa,N´gauma,Junho,Cartões de Crédito,Mulheres,19942,0.0
2020,Niassa,N´gauma,Julho,Cartões de Débito,Homens,760419,0.0
2020,Niassa,N´gauma,Maio,Cartões pré-pagos,Outros*,43442,0.0
2020,Niassa,N´gauma,Julho,Cartões de Crédito,Mulheres,19715,0.0
2020,Niassa,N´gauma,Maio,Cartões pré-pagos,Homens,29989,0.0
2020,Niassa,N´gauma,Maio,Cartões de Débito,Mulheres,487640,0.0
2020,Niassa,N´gauma,Maio,Cartões de Débito,Homens,744810,0.0
2020,Niassa,N´gauma,Maio,Cartões de Crédito,Outros*,2771,0.0
2020,Niassa,N´gauma,Maio,Cartões de Crédito,Mulheres,18955,0.0
2020,Niassa,N´gauma,Maio,Cartões de Crédito,Homens,47636,0.0
2020,Niassa,N´gauma,Abril,Cartões pré-pagos,Outros*,42499,0.0
2020,Niassa,N´gauma,Abril,Cartões pré-pagos,Mulheres,15964,0.0
2020,Niassa,N´gauma,Janeiro,Cartões de Débito,Homens,736617,0.0
2020,Niassa,N´gauma,Junho,Cartões de Crédito,Homens,49660,0.0
2020,Niassa,N´gauma,Janeiro,Cartões de Crédito,Outros*,2780,0.0
2020,Niassa,N´gauma,Maio,Cartões pré-pagos,Mulheres,16121,0.0
2020,Niassa,N´gauma,Janeiro,Cartões de Crédito,Mulheres,42107,0.0
2020,Niassa,N´gauma,Maio,Cartões de Débito,Outros*,29224,0.0
2020,Niassa,N´gauma,Julho,Cartões de Crédito,Outros*,3193,0.0
2020,Niassa,N´gauma,Julho,Cartões de Débito,Mulheres,488828,0.0
2020,Niassa,N´gauma,Julho,Cartões pré-pagos,Homens,29163,0.0
2020,Niassa,N´gauma,Março,Cartões pré-pagos,Homens,29057,0.0
2020,Niassa,N´gauma,Março,Cartões de Débito,Outros*,28261,0.0
2020,Niassa,N´gauma,Março,Cartões de Débito,Mulheres,482778,0.0
2020,Niassa,N´gauma,Março,Cartões de Débito,Homens,736130,0.0
2020,Niassa,N´gauma,Março,Cartões de Crédito,Outros*,2811,0.0
2020,Niassa,N´gauma,Março,Cartões de Crédito,Mulheres,18818,0.0
2020,Niassa,N´gauma,Março,Cartões de Crédito,Homens,46731,0.0
2020,Niassa,N´gauma,Abril,Cartões de Débito,Homens,696822,0.0
2020,Niassa,N´gauma,Fevereiro,Cartões pré-pagos,Outros*,39202,0.0
2020,Niassa,N´gauma,Abril,Cartões de Crédito,Mulheres,18703,0.0
2020,Niassa,N´gauma,Fevereiro,Cartões pré-pagos,Homens,28534,0.0
2020,Niassa,N´gauma,Março,Cartões pré-pagos,Outros*,40322.262365273884,0.0
2020,Niassa,N´gauma,Fevereiro,Cartões de Débito,Mulheres,459555,0.0
2020,Niassa,N´gauma,Fevereiro,Cartões de Crédito,Outros*,3040,0.0
2020,Niassa,N´gauma,Fevereiro,Cartões de Crédito,Mulheres,16368,0.0
2020,Niassa,N´gauma,Fevereiro,Cartões de Crédito,Homens,41151,0.0
2020,Niassa,N´gauma,Janeiro,Cartões pré-pagos,Outros*,37264,0.0
2020,Niassa,N´gauma,Janeiro,Cartões pré-pagos,Mulheres,15195,0.0
2020,Niassa,N´gauma,Janeiro,Cartões pré-pagos,Homens,27689,0.0
2020,Niassa,N´gauma,Janeiro,Cartões de Débito,Outros*,27451,0.0
2020,Niassa,N´gauma,Janeiro,Cartões de Débito,Mulheres,470732,0.0
2020,Niassa,N´gauma,Fevereiro,Cartões pré-pagos,Mulheres,15547,0.0
2020,Niassa,N´gauma,Abril,Cartões de Débito,Mulheres,454698,0.0
2020,Niassa,N´gauma,Fevereiro,Cartões de Débito,Outros*,27131,0.0
2020,Niassa,N´gauma,Abril,Cartões de Débito,Outros*,28700,0.0
2020,Niassa,N´gauma,Fevereiro,Cartões de Débito,Homens,708166,0.0
2020,Niassa,N´gauma,Abril,Cartões pré-pagos,Homens,29672,0.0
2020,Niassa,N´gauma,Janeiro,Cartões de Crédito,Homens,86784,0.0
2020,Niassa,Muembe,Setembro,Cartões de Débito,Mulheres,468743,0.0
2020,Niassa,Muembe,Setembro,Cartões de Débito,Homens,734571,0.0
2020,Niassa,Muembe,Setembro,Cartões de Crédito,Outros*,3111,0.0
2020,Niassa,Muembe,Dezembro,Cartões de Débito,Outros*,34447,0.0
2020,Niassa,Muembe,Dezembro,Cartões de Débito,Mulheres,471597,0.0
2020,Niassa,Muembe,Dezembro,Cartões de Débito,Homens,730289,0.0
2020,Niassa,Muembe,Dezembro,Cartões de Crédito,Outros*,3146,0.0
2020,Niassa,Muembe,Dezembro,Cartões de Crédito,Mulheres,19193,0.0
2020,Niassa,Muembe,Novembro,Cartões de Crédito,Homens,46831,0.0
2020,Niassa,Muembe,Novembro,Cartões pré-pagos,Outros*,47481,0.0
2020,Niassa,Muembe,Novembro,Cartões pré-pagos,Mulheres,7099,0.0
2020,Niassa,Muembe,Novembro,Cartões pré-pagos,Homens,18464,0.0
2020,Niassa,Muembe,Novembro,Cartões de Débito,Outros*,34030,0.0
2020,Niassa,Muembe,Novembro,Cartões de Débito,Mulheres,464943,0.0
2020,Niassa,Muembe,Novembro,Cartões de Débito,Homens,720904,0.0
2020,Niassa,Muembe,Novembro,Cartões de Crédito,Outros*,3206,0.0
2020,Niassa,Muembe,Novembro,Cartões de Crédito,Mulheres,19826,0.0
2020,Niassa,Muembe,Novembro,Cartões de Crédito,Homens,48708,0.0
2020,Niassa,Muembe,Outubro,Cartões pré-pagos,Outros*,56695,0.0
2020,Niassa,Muembe,Outubro,Cartões pré-pagos,Mulheres,6692,0.0
2020,Niassa,Muembe,Outubro,Cartões pré-pagos,Homens,17543,0.0
2020,Niassa,Muembe,Outubro,Cartões de Débito,Outros*,33690,0.0
2020,Niassa,Muembe,Outubro,Cartões de Débito,Mulheres,462558,0.0
2020,Niassa,Muembe,Outubro,Cartões de Débito,Homens,719429,0.0
2020,Niassa,Muembe,Outubro,Cartões de Crédito,Outros*,2672,0.0
2020,Niassa,Muembe,Outubro,Cartões de Crédito,Mulheres,19108,0.0
2020,Niassa,Muembe,Outubro,Cartões de Crédito,Homens,47093,0.0
2020,Niassa,Muembe,Setembro,Cartões pré-pagos,Mulheres,26583,0.0
2020,Niassa,N´gauma,Agosto,Cartões de Crédito,Homens,48915,0.0
2020,Niassa,Nipepe,Setembro,Cartões de Débito,Outros*,33274,1.0
2020,Niassa,Muembe,Dezembro,Cartões pré-pagos,Homens,18167,0.0
2020,Niassa,Nipepe,Setembro,Cartões pré-pagos,Homens,9906,0.0
2020,Niassa,Muembe,Dezembro,Cartões pré-pagos,Mulheres,6849,0.0
2020,Niassa,N´gauma,Agosto,Cartões de Crédito,Mulheres,19840,0.0
2020,Niassa,Muembe,Setembro,Cartões de Crédito,Mulheres,18808,0.0
2020,Niassa,Muembe,Setembro,Cartões de Crédito,Homens,47193,0.0
2020,Niassa,Muembe,Agosto,Cartões pré-pagos,Outros*,50823,0.0
2020,Niassa,Muembe,Agosto,Cartões pré-pagos,Mulheres,16167,0.0
2020,Niassa,Muembe,Agosto,Cartões pré-pagos,Homens,29715,0.0
2020,Niassa,Muembe,Agosto,Cartões de Débito,Outros*,33292,0.0
2020,Niassa,Muembe,Agosto,Cartões de Débito,Mulheres,489029,0.0
2020,Niassa,Muembe,Agosto,Cartões de Débito,Homens,762057,0.0
2020,Niassa,Muembe,Agosto,Cartões de Crédito,Outros*,3259,0.0
2020,Niassa,Muembe,Agosto,Cartões de Crédito,Mulheres,19840,0.0
2020,Niassa,Muembe,Agosto,Cartões de Crédito,Homens,48915,0.0
2020,Niassa,Muembe,Julho,Cartões pré-pagos,Outros*,50239,0.0
2020,Niassa,Muembe,Julho,Cartões pré-pagos,Mulheres,15942,0.0
2020,Niassa,Muembe,Julho,Cartões pré-pagos,Homens,29163,0.0
2020,Niassa,Muembe,Julho,Cartões de Débito,Outros*,32642,0.0
2020,Niassa,Muembe,Julho,Cartões de Débito,Mulheres,488828,0.0
2020,Niassa,Muembe,Julho,Cartões de Débito,Homens,760419,0.0
2020,Niassa,Muembe,Julho,Cartões de Crédito,Outros*,3193,0.0
2020,Niassa,Muembe,Julho,Cartões de Crédito,Mulheres,19715,0.0
2020,Niassa,Muembe,Julho,Cartões de Crédito,Homens,48628,0.0
2020,Niassa,Muembe,Junho,Cartões pré-pagos,Outros*,46916,0.0
2020,Niassa,Muembe,Junho,Cartões pré-pagos,Mulheres,16034,0.0
2020,Niassa,Muembe,Junho,Cartões pré-pagos,Homens,29510,0.0
2020,Niassa,Muembe,Junho,Cartões de Débito,Outros*,30941,0.0
2020,Niassa,Muembe,Setembro,Cartões de Débito,Outros*,33274,0.0
2020,Niassa,N´gauma,Julho,Cartões pré-pagos,Mulheres,15942,0.0
2020,Niassa,N´gauma,Julho,Cartões pré-pagos,Outros*,50239,0.0
2020,Niassa,Muembe,Dezembro,Cartões pré-pagos,Outros*,63570.622803257604,0.0
2020,Niassa,Muembe,Setembro,Cartões pré-pagos,Outros*,55068,0.0
2020,Niassa,Muembe,Setembro,Cartões pré-pagos,Homens,9906,0.0
2020,Niassa,Muembe,Junho,Cartões de Débito,Mulheres,505537,0.0
2020,Niassa,Muembe,Maio,Cartões pré-pagos,Homens,29989,0.0
2020,Niassa,Muembe,Maio,Cartões de Débito,Outros*,29224,0.0
2020,Niassa,Muembe,Maio,Cartões de Débito,Mulheres,487640,0.0
2020,Niassa,Muembe,Maio,Cartões de Débito,Homens,744810,0.0
2020,Niassa,Muembe,Maio,Cartões de Crédito,Outros*,2771,0.0
2020,Niassa,Muembe,Maio,Cartões de Crédito,Mulheres,18955,0.0
2020,Niassa,Muembe,Maio,Cartões de Crédito,Homens,47636,0.0
2020,Niassa,Muembe,Abril,Cartões pré-pagos,Outros*,42499,0.0
2020,Niassa,Muembe,Abril,Cartões pré-pagos,Mulheres,15964,0.0
2020,Niassa,Muembe,Abril,Cartões pré-pagos,Homens,29672,0.0
2020,Niassa,Muembe,Junho,Cartões de Crédito,Homens,49660,0.0
2020,Niassa,Muembe,Maio,Cartões pré-pagos,Outros*,43442,0.0
2020,Niassa,Muembe,Maio,Cartões pré-pagos,Mulheres,16121,0.0
2020,Niassa,Muembe,Abril,Cartões de Débito,Outros*,28700,0.0
2020,Niassa,Muembe,Abril,Cartões de Crédito,Mulheres,18703,0.0
2020,Niassa,Muembe,Abril,Cartões de Crédito,Homens,46508,0.0
2020,Niassa,Muembe,Março,Cartões pré-pagos,Outros*,40322.262365273884,0.0
2020,Niassa,Muembe,Março,Cartões pré-pagos,Mulheres,15789,0.0
2020,Niassa,Muembe,Março,Cartões pré-pagos,Homens,29057,0.0
2020,Niassa,Muembe,Março,Cartões de Débito,Outros*,28261,0.0
2020,Niassa,Muembe,Março,Cartões de Débito,Mulheres,482778,0.0
2020,Niassa,Muembe,Março,Cartões de Débito,Homens,736130,0.0
2020,Niassa,Muembe,Março,Cartões de Crédito,Outros*,2811,0.0
2020,Niassa,Muembe,Março,Cartões de Crédito,Mulheres,18818,0.0
2020,Niassa,Muembe,Abril,Cartões de Débito,Mulheres,454698,0.0
2020,Niassa,Muembe,Abril,Cartões de Débito,Homens,696822,0.0
2020,Niassa,Muembe,Abril,Cartões de Crédito,Outros*,2765,0.0
2020,Niassa,Muembe,Março,Cartões de Crédito,Homens,46731,0.0
2020,Niassa,Muembe,Fevereiro,Cartões pré-pagos,Outros*,39202,0.0
2020,Niassa,Muembe,Fevereiro,Cartões pré-pagos,Mulheres,15547,0.0
2020,Niassa,Muembe,Fevereiro,Cartões de Débito,Homens,708166,0.0
2020,Niassa,Muembe,Fevereiro,Cartões de Crédito,Outros*,3040,0.0
2020,Niassa,Muembe,Fevereiro,Cartões de Crédito,Mulheres,16368,0.0
2020,Niassa,Muembe,Fevereiro,Cartões de Crédito,Homens,41151,0.0
2020,Niassa,Muembe,Janeiro,Cartões pré-pagos,Outros*,37264,0.0
2020,Niassa,Muembe,Janeiro,Cartões pré-pagos,Mulheres,15195,0.0
2020,Niassa,Muembe,Janeiro,Cartões pré-pagos,Homens,27689,0.0
2020,Niassa,Muembe,Janeiro,Cartões de Débito,Outros*,27451,0.0
2020,Niassa,Muembe,Janeiro,Cartões de Débito,Mulheres,470732,0.0
2020,Niassa,Muembe,Janeiro,Cartões de Débito,Homens,736617,0.0
2020,Niassa,Muembe,Fevereiro,Cartões pré-pagos,Homens,28534,0.0
2020,Niassa,Muembe,Fevereiro,Cartões de Débito,Outros*,27131,0.0
2020,Niassa,Muembe,Fevereiro,Cartões de Débito,Mulheres,459555,0.0
2020,Niassa,Muembe,Janeiro,Cartões de Crédito,Outros*,2780,0.0
2020,Niassa,Metarica,Dezembro,Cartões pré-pagos,Mulheres,6849,0.0
2020,Niassa,Metarica,Dezembro,Cartões pré-pagos,Homens,18167,0.0
2020,Niassa,Metarica,Dezembro,Cartões de Débito,Outros*,34447,0.0
2020,Niassa,Metarica,Dezembro,Cartões de Débito,Mulheres,471597,0.0
2020,Niassa,Metarica,Dezembro,Cartões de Débito,Homens,730289,0.0
2020,Niassa,Metarica,Dezembro,Cartões de Crédito,Outros*,3146,0.0
2020,Niassa,Metarica,Dezembro,Cartões de Crédito,Mulheres,19193,0.0
2020,Niassa,Metarica,Novembro,Cartões de Crédito,Homens,46831,0.0
2020,Niassa,Metarica,Novembro,Cartões pré-pagos,Outros*,47481,0.0
2020,Niassa,Metarica,Novembro,Cartões pré-pagos,Mulheres,7099,0.0
2020,Niassa,Muembe,Janeiro,Cartões de Crédito,Mulheres,42107,0.0
2020,Niassa,Muembe,Janeiro,Cartões de Crédito,Homens,86784,0.0
2020,Niassa,Metarica,Dezembro,Cartões pré-pagos,Outros*,63570.622803257604,0.0
2020,Niassa,Metarica,Novembro,Cartões pré-pagos,Homens,18464,0.0
2020,Niassa,Metarica,Novembro,Cartões de Débito,Outros*,34030,0.0
2020,Niassa,Metarica,Novembro,Cartões de Débito,Mulheres,464943,0.0
2020,Niassa,Metarica,Novembro,Cartões de Débito,Homens,720904,0.0
2020,Niassa,Metarica,Novembro,Cartões de Crédito,Outros*,3206,0.0
2020,Niassa,Metarica,Novembro,Cartões de Crédito,Mulheres,19826,0.0
2020,Niassa,Metarica,Novembro,Cartões de Crédito,Homens,48708,0.0
2020,Niassa,Metarica,Outubro,Cartões pré-pagos,Outros*,56695,0.0
2020,Niassa,Metarica,Outubro,Cartões pré-pagos,Mulheres,6692,0.0
2020,Niassa,Metarica,Outubro,Cartões pré-pagos,Homens,17543,0.0
2020,Niassa,Metarica,Outubro,Cartões de Débito,Outros*,33690,0.0
2020,Niassa,Metarica,Outubro,Cartões de Débito,Mulheres,462558,0.0
2020,Niassa,Metarica,Outubro,Cartões de Débito,Homens,719429,0.0
2020,Niassa,Metarica,Outubro,Cartões de Crédito,Outros*,2672,0.0
2020,Niassa,Metarica,Outubro,Cartões de Crédito,Mulheres,19108,0.0
2020,Niassa,Metarica,Outubro,Cartões de Crédito,Homens,47093,0.0
2020,Niassa,Metarica,Setembro,Cartões pré-pagos,Outros*,55068,0.0
2020,Niassa,Metarica,Setembro,Cartões pré-pagos,Mulheres,26583,0.0
2020,Niassa,Metarica,Setembro,Cartões pré-pagos,Homens,9906,0.0
2020,Niassa,Metarica,Setembro,Cartões de Débito,Outros*,33274,0.0
2020,Niassa,Metarica,Setembro,Cartões de Débito,Mulheres,468743,0.0
2020,Niassa,Metarica,Setembro,Cartões de Débito,Homens,734571,0.0
2020,Niassa,Metarica,Setembro,Cartões de Crédito,Outros*,3111,0.0
2020,Niassa,Metarica,Setembro,Cartões de Crédito,Mulheres,18808,0.0
2020,Niassa,Metarica,Setembro,Cartões de Crédito,Homens,47193,0.0
2020,Niassa,Metarica,Agosto,Cartões pré-pagos,Outros*,50823,0.0
2020,Niassa,Metarica,Agosto,Cartões pré-pagos,Mulheres,16167,0.0
2020,Niassa,Metarica,Agosto,Cartões pré-pagos,Homens,29715,0.0
2020,Niassa,Metarica,Agosto,Cartões de Débito,Outros*,33292,0.0
2020,Niassa,Metarica,Agosto,Cartões de Débito,Mulheres,489029,0.0
2020,Niassa,Metarica,Agosto,Cartões de Débito,Homens,762057,0.0
2020,Niassa,Metarica,Agosto,Cartões de Crédito,Outros*,3259,0.0
2020,Niassa,Metarica,Agosto,Cartões de Crédito,Mulheres,19840,0.0
2020,Niassa,Metarica,Agosto,Cartões de Crédito,Homens,48915,0.0
2020,Niassa,Metarica,Julho,Cartões pré-pagos,Outros*,50239,0.0
2020,Niassa,Metarica,Julho,Cartões pré-pagos,Mulheres,15942,0.0
2020,Niassa,Metarica,Julho,Cartões pré-pagos,Homens,29163,0.0
2020,Niassa,Metarica,Julho,Cartões de Débito,Outros*,32642,0.0
2020,Niassa,Metarica,Julho,Cartões de Débito,Mulheres,488828,0.0
2020,Niassa,Metarica,Julho,Cartões de Débito,Homens,760419,0.0
2020,Niassa,Metarica,Julho,Cartões de Crédito,Outros*,3193,0.0
2020,Niassa,Metarica,Julho,Cartões de Crédito,Mulheres,19715,0.0
2020,Niassa,Metarica,Julho,Cartões de Crédito,Homens,48628,0.0
2020,Niassa,Metarica,Junho,Cartões pré-pagos,Outros*,46916,0.0
2020,Niassa,Metarica,Junho,Cartões pré-pagos,Mulheres,16034,0.0
2020,Niassa,Metarica,Junho,Cartões pré-pagos,Homens,29510,0.0
2020,Niassa,Metarica,Junho,Cartões de Débito,Outros*,30941,0.0
2020,Niassa,Metarica,Junho,Cartões de Débito,Mulheres,505537,0.0
2020,Niassa,Metarica,Junho,Cartões de Débito,Homens,778438,0.0
2020,Niassa,Metarica,Junho,Cartões de Crédito,Outros*,3218,0.0
2020,Niassa,Metarica,Junho,Cartões de Crédito,Mulheres,19942,0.0
2020,Niassa,Metarica,Junho,Cartões de Crédito,Homens,49660,0.0
2020,Niassa,Metarica,Maio,Cartões pré-pagos,Outros*,43442,0.0
2020,Niassa,Metarica,Maio,Cartões pré-pagos,Mulheres,16121,0.0
2020,Niassa,Metarica,Maio,Cartões pré-pagos,Homens,29989,0.0
2020,Niassa,Metarica,Maio,Cartões de Débito,Outros*,29224,0.0
2020,Niassa,Metarica,Maio,Cartões de Débito,Mulheres,487640,0.0
2020,Niassa,Metarica,Maio,Cartões de Débito,Homens,744810,0.0
2020,Niassa,Metarica,Maio,Cartões de Crédito,Outros*,2771,0.0
2020,Niassa,Metarica,Maio,Cartões de Crédito,Mulheres,18955,0.0
2020,Niassa,Metarica,Maio,Cartões de Crédito,Homens,47636,0.0
2020,Niassa,Metarica,Abril,Cartões pré-pagos,Outros*,42499,0.0
2020,Niassa,Metarica,Abril,Cartões pré-pagos,Mulheres,15964,0.0
2020,Niassa,Metarica,Abril,Cartões pré-pagos,Homens,29672,0.0
2020,Niassa,Metarica,Abril,Cartões de Débito,Outros*,28700,0.0
2020,Niassa,Metarica,Abril,Cartões de Débito,Mulheres,454698,0.0
2020,Niassa,Metarica,Abril,Cartões de Crédito,Homens,46508,0.0
2020,Niassa,Metarica,Março,Cartões pré-pagos,Outros*,40322.262365273884,0.0
2020,Niassa,Metarica,Março,Cartões pré-pagos,Mulheres,15789,0.0
2020,Niassa,Metarica,Março,Cartões pré-pagos,Homens,29057,0.0
2020,Niassa,Metarica,Março,Cartões de Débito,Outros*,28261,0.0
2020,Niassa,Metarica,Março,Cartões de Débito,Mulheres,482778,0.0
2020,Niassa,Metarica,Março,Cartões de Débito,Homens,736130,0.0
2020,Niassa,Metarica,Março,Cartões de Crédito,Outros*,2811,0.0
2020,Niassa,Metarica,Março,Cartões de Crédito,Mulheres,18818,0.0
2020,Niassa,Metarica,Março,Cartões de Crédito,Homens,46731,0.0
2020,Niassa,Metarica,Abril,Cartões de Débito,Homens,696822,0.0
2020,Niassa,Metarica,Abril,Cartões de Crédito,Outros*,2765,0.0
2020,Niassa,Metarica,Abril,Cartões de Crédito,Mulheres,18703,0.0
2020,Niassa,Metarica,Fevereiro,Cartões pré-pagos,Outros*,39202,0.0
2020,Niassa,Metarica,Fevereiro,Cartões de Débito,Mulheres,459555,0.0
2020,Niassa,Metarica,Fevereiro,Cartões de Débito,Homens,708166,0.0
2020,Niassa,Metarica,Fevereiro,Cartões de Crédito,Outros*,3040,0.0
2020,Niassa,Metarica,Fevereiro,Cartões de Crédito,Mulheres,16368,0.0
2020,Niassa,Metarica,Fevereiro,Cartões de Crédito,Homens,41151,0.0
2020,Niassa,Metarica,Janeiro,Cartões pré-pagos,Outros*,37264,0.0
2020,Niassa,Metarica,Janeiro,Cartões pré-pagos,Mulheres,15195,0.0
2020,Niassa,Metarica,Janeiro,Cartões pré-pagos,Homens,27689,0.0
2020,Niassa,Metarica,Janeiro,Cartões de Débito,Outros*,27451,0.0
2020,Niassa,Metarica,Janeiro,Cartões de Débito,Mulheres,470732,0.0
2020,Niassa,Metarica,Fevereiro,Cartões pré-pagos,Mulheres,15547,0.0
2020,Niassa,Metarica,Fevereiro,Cartões pré-pagos,Homens,28534,0.0
2020,Niassa,Metarica,Fevereiro,Cartões de Débito,Outros*,27131,0.0
2020,Niassa,Metarica,Janeiro,Cartões de Débito,Homens,736617,0.0
2020,Niassa,Metarica,Janeiro,Cartões de Crédito,Outros*,2780,0.0
2020,Niassa,Metarica,Janeiro,Cartões de Crédito,Mulheres,42107,0.0
2020,Niassa,Mecula,Dezembro,Cartões pré-pagos,Homens,18167,0.0
2020,Niassa,Mecula,Dezembro,Cartões de Débito,Outros*,34447,3.0
2020,Niassa,Mecula,Dezembro,Cartões de Débito,Mulheres,471597,95.0
2020,Niassa,Mecula,Dezembro,Cartões de Débito,Homens,730289,656.0
2020,Niassa,Mecula,Dezembro,Cartões de Crédito,Outros*,3146,0.0
2020,Niassa,Mecula,Dezembro,Cartões de Crédito,Mulheres,19193,3.0
2020,Niassa,Mecula,Novembro,Cartões de Crédito,Homens,46831,47.0
2020,Niassa,Mecula,Novembro,Cartões pré-pagos,Outros*,47481,100.0
2020,Niassa,Mecula,Novembro,Cartões pré-pagos,Mulheres,7099,0.0
2020,Niassa,Mecula,Novembro,Cartões pré-pagos,Homens,18464,0.0
2020,Niassa,Metarica,Janeiro,Cartões de Crédito,Homens,86784,0.0
2020,Niassa,Mecula,Dezembro,Cartões pré-pagos,Outros*,63570.622803257604,100.0
2020,Niassa,Mecula,Dezembro,Cartões pré-pagos,Mulheres,6849,0.0
2020,Niassa,Mecula,Novembro,Cartões de Débito,Outros*,34030,3.0
2020,Niassa,Mecula,Novembro,Cartões de Crédito,Mulheres,19826,3.0
2020,Niassa,Mecula,Novembro,Cartões de Crédito,Homens,48708,47.0
2020,Niassa,Mecula,Outubro,Cartões pré-pagos,Outros*,56695,100.0
2020,Niassa,Mecula,Outubro,Cartões pré-pagos,Mulheres,6692,0.0
2020,Niassa,Mecula,Outubro,Cartões pré-pagos,Homens,17543,0.0
2020,Niassa,Mecula,Outubro,Cartões de Débito,Outros*,33690,2.0
2020,Niassa,Mecula,Outubro,Cartões de Débito,Mulheres,462558,85.0
2020,Niassa,Mecula,Outubro,Cartões de Débito,Homens,719429,625.0
2020,Niassa,Mecula,Outubro,Cartões de Crédito,Outros*,2672,0.0
2020,Niassa,Mecula,Outubro,Cartões de Crédito,Mulheres,19108,3.0
2020,Niassa,Mecula,Novembro,Cartões de Débito,Mulheres,464943,89.0
2020,Niassa,Mecula,Novembro,Cartões de Débito,Homens,720904,647.0
2020,Niassa,Mecula,Novembro,Cartões de Crédito,Outros*,3206,0.0
2020,Niassa,Mecula,Outubro,Cartões de Crédito,Homens,47093,47.0
2020,Niassa,Mecula,Setembro,Cartões pré-pagos,Outros*,55068,100.0
